Titulo,Fabricante,preco,loja,tipo_produto,quantidade_unidades,peso_gramas,faixa_peso,preco_100g,preco_500g,preco_unidade
Cápsula de Café Espresso Supremo Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Espresso Vibrante Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Expresso em Cápsula Guatemala L'or 52g com 10 Unidades,L'OR,30.98,Mambo,capsula,10.0,52.0,ate_100g,59.5769,297.8846,3.098
Cápsula de Café Expresso Índia L'or 52g com 10 Unidades,L'OR,30.98,Mambo,capsula,10.0,52.0,ate_100g,59.5769,297.8846,3.098
Café Torrado e Moído Extra Forte a Vácuo 3 Corações 250g,3 Corações,25.98,Mambo,tradicional,,250.0,101g_250g,10.392,51.96,
Café Torrado e Moído Extra Forte a Vácuo Melitta 500g,Melitta,31.99,Mambo,tradicional,,500.0,251g_500g,6.398,31.99,
Café Torrado e Moído Extra Forte a Vácuo Pilão 500g,Pilão,43.49,Mambo,tradicional,,500.0,251g_500g,8.698,43.49,
Café Torrado e Moído Extraforte 3 Corações Pacote 250g,3 Corações,25.49,Mambo,tradicional,,250.0,101g_250g,10.196,50.98,
Café Torrado e Moído Extra Forte 3 Corações 500g,3 Corações,27.99,Mambo,tradicional,,500.0,251g_500g,5.598,27.99,
Café Torrado e Moído Extra Forte Floresta 500g,Cafe Floresta,34.98,Mambo,tradicional,,500.0,251g_500g,6.996,34.98,
Café Torrado e Moído Extra Forte Café Pelé 500g,Café Pelé,36.98,Mambo,tradicional,,500.0,251g_500g,7.396,36.98,
Café Torrado e Moído Extra Forte Pilão 500g,Pilão,43.49,Mambo,tradicional,,500.0,251g_500g,8.698,43.49,
Café Torrado e Moído Extra Forte Aviação 500g,Aviação,54.98,Mambo,tradicional,,500.0,251g_500g,10.996,54.98,
Cápsula de Café Filtrado Clássico Drip Coffee Orfeu 100g com 10 Unidades,Orfeu,40.49,Mambo,capsula,10.0,100.0,ate_100g,40.49,202.45,4.049
Cápsula de Café Filtrado Tradicional Tres 3 Corações 80g com 10 Unidades,3 Corações,17.98,Mambo,capsula,10.0,80.0,ate_100g,22.475,112.375,1.798
Cápsula de Café Filtrado Intenso Drip Coffee Orfeu 100g com 10 Unidades,Orfeu,40.49,Mambo,capsula,10.0,100.0,ate_100g,40.49,202.45,4.049
Café Torrado e Moído Gold Equilibrado Nescafé 250g,Nescafé,38.98,Mambo,tradicional,,250.0,101g_250g,15.592,77.96,
Café Torrado e Moído Gourmet Cerrado Mineiro 3 Corações 250g,3 Corações,25.99,Mambo,tradicional,,250.0,101g_250g,10.396,51.98,
